OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
713634,c42f41f7,02/13/2015 12:01:00 AM,Friday,Feb,13,2015,0,2,13,2015,GRAND LARCENY,FELONY,J,41,BRONX,N.Y. POLICE DEPT,1013966,239610,"(40.8243079150001, -73.8926318759999)"
713942,48db5157,02/13/2015 01:00:00 AM,Friday,Feb,13,2015,1,3,2,2015,GRAND LARCENY,FELONY,J,50,BRONX,N.Y. POLICE DEPT,1010087,268405,"(40.90335364, -73.906536424)"
713952,8d38f059,02/13/2015 03:30:00 AM,Friday,Feb,13,2015,3,2,13,2015,FELONY ASSAULT,FELONY,P,44,BRONX,N.Y. POLICE DEPT,1007027,245405,"(40.840234138, -73.9176841139999)"
713953,3eb203da,02/13/2015 03:30:00 AM,Friday,Feb,13,2015,3,2,13,2015,FELONY ASSAULT,FELONY,H,49,BRONX,N.Y. POLICE DEPT,1020929,254201,"(40.8643297240001, -73.867393455)"
713957,fe20cfa0,02/13/2015 04:00:00 AM,Friday,Feb,13,2015,4,2,13,2015,ROBBERY,FELONY,F,43,BRONX,N.Y. POLICE DEPT,1022239,242799,"(40.833029094, -73.862721934)"
714264,91fe53b4,02/13/2015 06:00:00 AM,Friday,Feb,13,2015,6,2,13,2015,BURGLARY,FELONY,C,40,BRONX,N.Y. POLICE DEPT,1007977,235114,"(40.81198578, -73.914287154)"
714267,bf605d86,02/13/2015 06:49:00 AM,Friday,Feb,13,2015,6,2,17,2015,GRAND LARCENY,FELONY,A,43,BRONX,N.Y. POLICE DEPT,1020316,239179,"(40.823101299, -73.8696904609999)"
714275,444ee716,02/13/2015 07:50:00 AM,Friday,Feb,13,2015,7,2,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,48,BRONX,N.Y. POLICE DEPT,1014938,252245,"(40.8589839570001, -73.889062042)"
714580,ec2481b,02/13/2015 08:00:00 AM,Friday,Feb,13,2015,8,2,13,2015,BURGLARY,FELONY,F,49,BRONX,N.Y. POLICE DEPT,1024410,254163,"(40.864210277, -73.8548086169999)"
714581,a9064103,02/13/2015 08:00:00 AM,Friday,Feb,13,2015,8,3,10,2015,GRAND LARCENY,FELONY,H,49,BRONX,N.Y. POLICE DEPT,1022270,255057,"(40.8666735090001, -73.862540402)"
714587,263f023,02/13/2015 08:30:00 AM,Friday,Feb,13,2015,8,2,13,2015,FELONY ASSAULT,FELONY,C,41,BRONX,N.Y. POLICE DEPT,1015551,236000,"(40.8143940140001, -73.886921812)"
714595,2715ad8b,02/13/2015 09:15:00 AM,Friday,Feb,13,2015,9,2,13,2015,BURGLARY,FELONY,F,49,BRONX,N.Y. POLICE DEPT,1024410,254163,"(40.864210277, -73.8548086169999)"
714598,6a8909d9,02/13/2015 09:45:00 AM,Friday,Feb,13,2015,9,2,23,2015,GRAND LARCENY,FELONY,P,44,BRONX,N.Y. POLICE DEPT,1008114,244866,"(40.8387518700001, -73.913757556)"
714902,58d1a406,02/13/2015 10:00:00 AM,Friday,Feb,13,2015,10,2,13,2015,GRAND LARCENY,FELONY,E,43,BRONX,N.Y. POLICE DEPT,1018827,241463,"(40.829376177, -73.875058628)"
715230,18560d26,02/13/2015 01:00:00 PM,Friday,Feb,13,2015,13,2,13,2015,GRAND LARCENY,FELONY,B,52,BRONX,N.Y. POLICE DEPT,1010546,253615,"(40.862758367, -73.9049340619999)"
715231,f4c265ef,02/13/2015 01:00:00 PM,Friday,Feb,13,2015,13,2,13,2015,FELONY ASSAULT,FELONY,G,47,BRONX,N.Y. HOUSING POLICE,1030386,260908,"(40.8826939900001, -73.833156832)"
715544,e01358d8,02/13/2015 01:51:00 PM,Friday,Feb,13,2015,13,3,5,2015,GRAND LARCENY,FELONY,E,44,BRONX,N.Y. POLICE DEPT,1004530,242729,"(40.8328953810001, -73.926716496)"
715549,2bc99bff,02/13/2015 02:00:00 PM,Friday,Feb,13,2015,14,2,13,2015,GRAND LARCENY,FELONY,T,44,BRONX,N.Y. POLICE DEPT,1008427,245745,"(40.8411636170001, -73.9126232149999)"
715562,9c89be71,02/13/2015 03:00:00 PM,Friday,Feb,13,2015,15,2,14,2015,GRAND LARCENY,FELONY,P,46,BRONX,N.Y. POLICE DEPT,1007507,251785,"(40.8577440980001, -73.915927239)"
715563,fb4cdda9,02/13/2015 03:00:00 PM,Friday,Feb,13,2015,15,2,13,2015,FELONY ASSAULT,FELONY,H,46,BRONX,N.Y. POLICE DEPT,1012078,252019,"(40.858373133, -73.899402084)"
715866,b4953826,02/13/2015 03:15:00 PM,Friday,Feb,13,2015,15,2,13,2015,BURGLARY,FELONY,J,41,BRONX,N.Y. POLICE DEPT,1013619,239956,"(40.8252587470001, -73.893884137)"
715875,11828a28,02/13/2015 03:55:00 PM,Friday,Feb,13,2015,15,2,13,2015,ROBBERY,FELONY,H,52,BRONX,N.Y. POLICE DEPT,1014902,256702,"(40.8712171880001, -73.8891718)"
715883,127fa65a,02/13/2015 04:00:00 PM,Friday,Feb,13,2015,16,2,14,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,44,BRONX,N.Y. POLICE DEPT,1003318,238263,"(40.8206401850001, -73.931108939)"
716189,2d65af4d,02/13/2015 04:00:00 PM,Friday,Feb,13,2015,16,2,14,2015,BURGLARY,FELONY,G,42,BRONX,N.Y. POLICE DEPT,1010697,241162,"(40.828578104, -73.904437269)"
