OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
713945,bbdac855,02/13/2015 01:30:00 AM,Friday,Feb,13,2015,1,2,13,2015,GRAND LARCENY,FELONY,G,114,QUEENS,N.Y. POLICE DEPT,1007589,223015,"(40.7787783470001, -73.915730858)"
713949,1059a111,02/13/2015 03:00:00 AM,Friday,Feb,13,2015,3,2,14,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,I,110,QUEENS,N.Y. POLICE DEPT,1020255,210816,"(40.7452527410001, -73.87006287)"
713951,149d446e,02/13/2015 03:20:00 AM,Friday,Feb,13,2015,3,2,13,2015,FELONY ASSAULT,FELONY,A,110,QUEENS,N.Y. POLICE DEPT,1016282,211662,"(40.7475900800001, -73.884396999)"
714262,c288c861,02/13/2015 06:00:00 AM,Friday,Feb,13,2015,6,2,14,2015,BURGLARY,FELONY,B,107,QUEENS,N.Y. POLICE DEPT,1037750,198324,"(40.710876791, -73.807024586)"
714265,a10b35d1,02/13/2015 06:30:00 AM,Friday,Feb,13,2015,6,2,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,103,QUEENS,N.Y. POLICE DEPT,1048001,198533,"(40.7113825220001, -73.770046953)"
714266,cc9e683c,02/13/2015 06:30:00 AM,Friday,Feb,13,2015,6,2,13,2015,BURGLARY,FELONY,F,114,QUEENS,N.Y. POLICE DEPT,1006870,218567,"(40.7665716220001, -73.9183419349999)"
714271,cc9283ab,02/13/2015 07:05:00 AM,Friday,Feb,13,2015,7,2,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,G,113,QUEENS,N.Y. POLICE DEPT,1041504,186326,"(40.6779216510001, -73.793585768)"
714272,73aed65d,02/13/2015 07:30:00 AM,Friday,Feb,13,2015,7,2,13,2015,BURGLARY,FELONY,E,114,QUEENS,N.Y. POLICE DEPT,1004452,215636,"(40.7585326380001, -73.9270798599999)"
714276,8fe6db4,02/13/2015 08:00:00 AM,Friday,Feb,13,2015,8,2,14,2015,BURGLARY,FELONY,A,105,QUEENS,N.Y. POLICE DEPT,1049321,181687,"(40.6651346690001, -73.765448342)"
714279,cb21f8f4,02/13/2015 08:00:00 AM,Friday,Feb,13,2015,8,6,3,2015,GRAND LARCENY,FELONY,,110,QUEENS,N.Y. POLICE DEPT,1023998,210485,"(40.7443281990001, -73.856556724)"
714582,99a76b78,02/13/2015 08:15:00 AM,Friday,Feb,13,2015,8,2,13,2015,FELONY ASSAULT,FELONY,I,115,QUEENS,N.Y. POLICE DEPT,1023725,215039,"(40.7568289880001, -73.857515206)"
714584,48b23fb6,02/13/2015 08:20:00 AM,Friday,Feb,13,2015,8,2,13,2015,ROBBERY,FELONY,H,105,QUEENS,N.Y. POLICE DEPT,1055110,193255,"(40.6968416340001, -73.744459949)"
714592,fd5c2f62,02/13/2015 09:00:00 AM,Friday,Feb,13,2015,9,2,27,2015,GRAND LARCENY,FELONY,D,111,QUEENS,N.Y. POLICE DEPT,1044850,212981,"(40.7510607680001, -73.7812826699999)"
714597,75d21606,02/13/2015 09:30:00 AM,Friday,Feb,13,2015,9,2,13,2015,BURGLARY,FELONY,G,105,QUEENS,N.Y. POLICE DEPT,1055721,191143,"(40.6910397940001, -73.742278929)"
714599,1025db7f,02/13/2015 10:00:00 AM,Friday,Feb,13,2015,10,2,17,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,M,113,QUEENS,N.Y. POLICE DEPT,1042835,190803,"(40.6902012530001, -73.7887482579999)"
714905,9861ed1b,02/13/2015 10:57:00 AM,Friday,Feb,13,2015,10,2,13,2015,BURGLARY,FELONY,A,110,QUEENS,N.Y. POLICE DEPT,1016495,210695,"(40.744935135, -73.883632911)"
714907,4cc5f3d6,02/13/2015 11:00:00 AM,Friday,Feb,13,2015,11,2,13,2015,BURGLARY,FELONY,D,102,QUEENS,N.Y. POLICE DEPT,1025643,191684,"(40.692716492, -73.8507357829999)"
714908,b5ee8c1e,02/13/2015 11:00:00 AM,Friday,Feb,13,2015,11,2,13,2015,GRAND LARCENY,FELONY,A,113,QUEENS,PORT AUTHORITY,1046367,186986,"(40.679700408, -73.776047368)"
714909,e4dfa6c5,02/13/2015 11:37:00 AM,Friday,Feb,13,2015,11,2,14,2015,GRAND LARCENY,FELONY,E,109,QUEENS,N.Y. TRANSIT POLICE,1031307,216054,"(40.7595777980001, -73.8301407)"
714911,b24f4f6c,02/13/2015 12:00:00 PM,Friday,Feb,13,2015,12,4,11,2015,RAPE,FELONY,D,102,QUEENS,N.Y. POLICE DEPT,1030954,193887,"(40.6987367730001, -73.831568765)"
714913,5b3dceb9,02/13/2015 12:00:00 PM,Friday,Feb,13,2015,12,2,13,2015,BURGLARY,FELONY,A,115,QUEENS,N.Y. POLICE DEPT,1022128,216309,"(40.760321794, -73.863272463)"
715227,6659fc0c,02/13/2015 01:00:00 PM,Friday,Feb,13,2015,13,2,14,2015,FELONY ASSAULT,FELONY,J,111,QUEENS,N.Y. POLICE DEPT,1049255,217301,"(40.762886741, -73.765342359)"
715235,e07fe0c9,02/13/2015 01:15:00 PM,Friday,Feb,13,2015,13,2,13,2015,FELONY ASSAULT,FELONY,D,101,QUEENS,N.Y. POLICE DEPT,1051810,158386,"(40.601159958, -73.7567098769999)"
715243,603f3daf,02/13/2015 01:45:00 PM,Friday,Feb,13,2015,13,2,13,2015,ROBBERY,FELONY,D,103,QUEENS,N.Y. POLICE DEPT,1050027,199646,"(40.7144226020001, -73.762728185)"
715546,ce956407,02/13/2015 02:00:00 PM,Friday,Feb,13,2015,14,2,13,2015,BURGLARY,FELONY,C,102,QUEENS,N.Y. POLICE DEPT,1028241,192139,"(40.6939528280001, -73.841364287)"
715548,12e35cd0,02/13/2015 02:00:00 PM,Friday,Feb,13,2015,14,2,14,2015,GRAND LARCENY,FELONY,I,109,QUEENS,N.Y. POLICE DEPT,1030559,216659,"(40.7612423150001, -73.8328365679999)"
715550,84e10993,02/13/2015 02:00:00 PM,Friday,Feb,13,2015,14,2,16,2015,BURGLARY,FELONY,,108,QUEENS,N.Y. POLICE DEPT,996793,210001,"(40.7430801680001, -73.954736461)"
715553,c3850676,02/13/2015 02:20:00 PM,Friday,Feb,13,2015,14,2,13,2015,BURGLARY,FELONY,D,102,QUEENS,N.Y. POLICE DEPT,1025885,191779,"(40.6929761100001, -73.849862531)"
715555,279f477f,02/13/2015 02:30:00 PM,Friday,Feb,13,2015,14,2,13,2015,BURGLARY,FELONY,B,103,QUEENS,N.Y. POLICE DEPT,1042649,196826,"(40.7067341690001, -73.7893667339999)"
715559,19b5c3f1,02/13/2015 03:00:00 PM,Friday,Feb,13,2015,15,2,23,2015,GRAND LARCENY,FELONY,B,107,QUEENS,N.Y. POLICE DEPT,1035991,197774,"(40.7093776350001, -73.813373584)"
715865,ef7fc80f,02/13/2015 03:15:00 PM,Friday,Feb,13,2015,15,2,13,2015,GRAND LARCENY,FELONY,C,103,QUEENS,N.Y. POLICE DEPT,1046484,199722,"(40.714656834, -73.775507868)"
715869,92263772,02/13/2015 03:30:00 PM,Friday,Feb,13,2015,15,2,24,2015,GRAND LARCENY,FELONY,D,106,QUEENS,N.Y. POLICE DEPT,1025022,184525,"(40.6730695750001, -73.853018458)"
715873,971dbfb3,02/13/2015 03:30:00 PM,Friday,Feb,13,2015,15,2,14,2015,GRAND LARCENY,FELONY,,111,QUEENS,N.Y. POLICE DEPT,1048565,216315,"(40.760185479, -73.767842585)"
715879,d61510c5,02/13/2015 04:00:00 PM,Friday,Feb,13,2015,16,2,13,2015,FELONY ASSAULT,FELONY,H,110,QUEENS,N.Y. POLICE DEPT,1021423,209484,"(40.7415919050001, -73.8658550389999)"
715880,70455907,02/13/2015 04:00:00 PM,Friday,Feb,13,2015,16,2,17,2015,GRAND LARCENY,FELONY,F,114,QUEENS,N.Y. POLICE DEPT,1007796,219078,"(40.7679717660001, -73.914997233)"
716201,d969426d,02/13/2015 05:00:00 PM,Friday,Feb,13,2015,17,2,13,2015,GRAND LARCENY,FELONY,D,111,QUEENS,N.Y. POLICE DEPT,1041646,209130,"(40.740512143, -73.792879432)"
716522,b962ed71,02/13/2015 06:00:00 PM,Friday,Feb,13,2015,18,2,14,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,F,105,QUEENS,N.Y. POLICE DEPT,1055399,187089,"(40.679915131, -73.743482854)"
716524,55432600,02/13/2015 06:00:00 PM,Friday,Feb,13,2015,18,2,14,2015,BURGLARY,FELONY,J,109,QUEENS,N.Y. POLICE DEPT,1030020,218792,"(40.7670996470001, -73.834767706)"
716831,bc3a0b10,02/13/2015 06:30:00 PM,Friday,Feb,13,2015,18,2,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,G,113,QUEENS,N.Y. POLICE DEPT,1041953,185082,"(40.674504245, -73.791977661)"
716832,7d0e036e,02/13/2015 06:30:00 PM,Friday,Feb,13,2015,18,2,13,2015,ROBBERY,FELONY,F,113,QUEENS,N.Y. POLICE DEPT,1048217,188701,"(40.684394502, -73.7693612049999)"
716833,c54604a5,02/13/2015 06:30:00 PM,Friday,Feb,13,2015,18,2,14,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,N,113,QUEENS,N.Y. POLICE DEPT,1052287,192757,"(40.695496899, -73.754645473)"
