OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
713948,68ec08d7,02/13/2015 02:30:00 AM,Friday,Feb,13,2015,2,2,13,2015,FELONY ASSAULT,FELONY,D,122,STATEN ISLAND,N.Y. POLICE DEPT,952632,150666,"(40.5801712200001, -74.113825707)"
713960,2698f509,02/13/2015 06:00:00 AM,Friday,Feb,13,2015,6,2,13,2015,GRAND LARCENY,FELONY,J,122,STATEN ISLAND,N.Y. POLICE DEPT,950249,149470,"(40.5768796190001, -74.1223984389999)"
714910,f024e2b7,02/13/2015 12:00:00 PM,Friday,Feb,13,2015,12,3,12,2015,BURGLARY,FELONY,B,120,STATEN ISLAND,N.Y. POLICE DEPT,961580,163524,"(40.615491223, -74.08165623)"
715545,52067223,02/13/2015 02:00:00 PM,Friday,Feb,13,2015,14,3,1,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,122,STATEN ISLAND,N.Y. POLICE DEPT,951772,144517,"(40.5632903200001, -74.116892148)"
716830,5c58a669,02/13/2015 06:30:00 PM,Friday,Feb,13,2015,18,2,13,2015,GRAND LARCENY,FELONY,E,122,STATEN ISLAND,N.Y. POLICE DEPT,955949,149068,"(40.5757962380001, -74.1018778819999)"
716837,13ab1e25,02/13/2015 06:45:00 PM,Friday,Feb,13,2015,18,2,13,2015,ROBBERY,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,960423,163102,"(40.6143298850001, -74.085822121)"
717167,e8a9c087,02/13/2015 08:30:00 PM,Friday,Feb,13,2015,20,2,13,2015,FELONY ASSAULT,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,938112,170556,"(40.6347014310001, -74.1662332399999)"
718138,40dad343,02/15/2015 01:30:00 AM,Sunday,Feb,15,2015,1,2,15,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,B,120,STATEN ISLAND,N.Y. POLICE DEPT,961580,163524,"(40.615491223, -74.08165623)"
718784,f892d488,02/15/2015 04:08:00 AM,Sunday,Feb,15,2015,4,2,15,2015,FELONY ASSAULT,FELONY,B,120,STATEN ISLAND,N.Y. POLICE DEPT,961580,163524,"(40.615491223, -74.08165623)"
719409,82c303a6,02/15/2015 08:00:00 AM,Sunday,Feb,15,2015,8,2,20,2015,GRAND LARCENY,FELONY,F,121,STATEN ISLAND,N.Y. POLICE DEPT,940166,156249,"(40.5954421920001, -74.158739435)"
719731,6d157f84,02/15/2015 11:30:00 AM,Sunday,Feb,15,2015,11,2,16,2015,BURGLARY,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,938021,167011,"(40.6249706950001, -74.1665368229999)"
720069,f37d4ac1,02/15/2015 04:15:00 PM,Sunday,Feb,15,2015,16,2,15,2015,FELONY ASSAULT,FELONY,I,122,STATEN ISLAND,N.Y. HOUSING POLICE,962613,156332,"(40.595753238, -74.077912441)"
720377,f2fa0f53,02/15/2015 04:44:00 PM,Sunday,Feb,15,2015,16,2,15,2015,FELONY ASSAULT,FELONY,D,120,STATEN ISLAND,N.Y. POLICE DEPT,962760,171273,"(40.636763538, -74.0774306769999)"
720388,cfb17513,02/15/2015 05:55:00 PM,Sunday,Feb,15,2015,17,2,17,2015,FELONY ASSAULT,FELONY,E,120,STATEN ISLAND,N.Y. POLICE DEPT,962951,172727,"(40.640754918, -74.0767470879999)"
720715,a6acbe2,02/15/2015 09:00:00 PM,Sunday,Feb,15,2015,21,2,15,2015,ROBBERY,FELONY,D,120,STATEN ISLAND,N.Y. POLICE DEPT,963129,167869,"(40.6274211670001, -74.076090504)"
721023,495ce264,02/15/2015 09:15:00 PM,Sunday,Feb,15,2015,21,4,15,2015,FELONY ASSAULT,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,943467,168110,"(40.6280139610001, -74.1469248289999)"
721038,77809701,04/16/2015 12:00:00 AM,Thursday,Apr,16,2015,0,4,16,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,,121,STATEN ISLAND,N.Y. POLICE DEPT,942045,165314,"(40.6203328760001, -74.152030183)"
723279,f6f8cd7d,04/16/2015 02:40:00 PM,Thursday,Apr,16,2015,14,4,16,2015,GRAND LARCENY,FELONY,G,121,STATEN ISLAND,N.Y. POLICE DEPT,947761,158839,"(40.602585735, -74.1314053369999)"
723282,51fa93a4,04/16/2015 03:00:00 PM,Thursday,Apr,16,2015,15,4,22,2015,GRAND LARCENY,FELONY,H,120,STATEN ISLAND,N.Y. POLICE DEPT,958484,169396,"(40.6316001660001, -74.0928300799999)"
723938,b158b7ad,04/16/2015 05:45:00 PM,Thursday,Apr,16,2015,17,4,16,2015,GRAND LARCENY,FELONY,H,121,STATEN ISLAND,N.Y. POLICE DEPT,937077,149100,"(40.575803739, -74.169812399)"
724249,85ec1913,04/16/2015 06:30:00 PM,Thursday,Apr,16,2015,18,4,17,2015,GRAND LARCENY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,938839,165691,"(40.621351808, -74.163581186)"
725537,2ee81e76,05/22/2015 01:30:00 AM,Friday,May,22,2015,1,5,22,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,120,STATEN ISLAND,N.Y. POLICE DEPT,964133,163010,"(40.614086564, -74.0724590839999)"
725538,771c0cfa,05/22/2015 01:30:00 AM,Friday,May,22,2015,1,5,24,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,942213,168914,"(40.630214907, -74.1514474429999)"
725539,c1eac4ff,05/22/2015 01:30:00 AM,Friday,May,22,2015,1,5,26,2015,GRAND LARCENY,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,938600,171879,"(40.638335307, -74.164483967)"
726501,443d1fdf,05/22/2015 10:00:00 AM,Friday,May,22,2015,10,5,22,2015,BURGLARY,FELONY,K,120,STATEN ISLAND,N.Y. POLICE DEPT,951614,164012,"(40.6167995760001, -74.117554963)"
726502,3a52cde3,05/22/2015 10:00:00 AM,Friday,May,22,2015,10,5,26,2015,BURGLARY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,940060,170889,"(40.6356253770001, -74.1592169369999)"
726823,2db94692,05/22/2015 11:30:00 AM,Friday,May,22,2015,11,5,22,2015,GRAND LARCENY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,942825,166367,"(40.6232268190001, -74.1492269729999)"
727794,f3a4834f,05/22/2015 04:00:00 PM,Friday,May,22,2015,16,5,22,2015,GRAND LARCENY,FELONY,C,122,STATEN ISLAND,N.Y. POLICE DEPT,952821,145880,"(40.567035268, -74.11312306)"
728431,39d650f,05/22/2015 05:10:00 PM,Friday,May,22,2015,17,5,22,2015,BURGLARY,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,960870,164152,"(40.617213108, -74.084215742)"
728761,3efd4cbf,05/22/2015 06:45:00 PM,Friday,May,22,2015,18,5,22,2015,RAPE,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,962748,174174,"(40.644726131, -74.0774831589999)"
729712,f018df9a,05/22/2015 10:00:00 PM,Friday,May,22,2015,22,5,22,2015,FELONY ASSAULT,FELONY,I,122,STATEN ISLAND,N.Y. HOUSING POLICE,962613,156332,"(40.595753238, -74.077912441)"
730349,eb9376c1,08/07/2015 12:15:00 AM,Friday,Aug,7,2015,0,8,7,2015,ROBBERY,FELONY,D,122,STATEN ISLAND,N.Y. POLICE DEPT,952928,147715,"(40.572072361, -74.112746439)"
730997,dbe33d00,08/07/2015 03:30:00 AM,Friday,Aug,7,2015,3,8,7,2015,ROBBERY,FELONY,G,122,STATEN ISLAND,N.Y. POLICE DEPT,958402,148411,"(40.5740003940001, -74.093045198)"
731325,e966d3e4,08/07/2015 08:00:00 AM,Friday,Aug,7,2015,8,8,8,2015,GRAND LARCENY,FELONY,D,121,STATEN ISLAND,N.Y. POLICE DEPT,944852,166895,"(40.624685313, -74.141928193)"
731650,c85029d5,08/07/2015 09:00:00 AM,Friday,Aug,7,2015,9,8,10,2015,GRAND LARCENY,FELONY,B,122,STATEN ISLAND,N.Y. POLICE DEPT,945094,138504,"(40.5467588280001, -74.1408919149999)"
731968,640725ca,08/07/2015 10:00:00 AM,Friday,Aug,7,2015,10,9,22,2015,GRAND LARCENY,FELONY,D,123,STATEN ISLAND,N.Y. POLICE DEPT,922631,135397,"(40.5381031090001, -74.221689339)"
732289,d731d926,08/07/2015 11:30:00 AM,Friday,Aug,7,2015,11,8,10,2015,GRAND LARCENY,FELONY,H,120,STATEN ISLAND,N.Y. POLICE DEPT,960027,171660,"(40.6378187170001, -74.087279157)"
733909,169c5f95,08/07/2015 06:00:00 PM,Friday,Aug,7,2015,18,8,8,2015,GRAND LARCENY,FELONY,H,121,STATEN ISLAND,N.Y. POLICE DEPT,939184,151575,"(40.582608077, -74.1622442469999)"
734550,26ec1454,08/07/2015 07:46:00 PM,Friday,Aug,7,2015,19,8,7,2015,ROBBERY,FELONY,D,121,STATEN ISLAND,N.Y. POLICE DEPT,947586,166171,"(40.622709823, -74.132075356)"
734862,989db866,08/07/2015 08:30:00 PM,Friday,Aug,7,2015,20,8,7,2015,GRAND LARCENY,FELONY,I,122,STATEN ISLAND,N.Y. POLICE DEPT,963978,157164,"(40.598040138, -74.072999817)"
735494,3660c850,08/07/2015 10:00:00 PM,Friday,Aug,7,2015,22,8,9,2015,BURGLARY,FELONY,N,120,STATEN ISLAND,N.Y. POLICE DEPT,948707,165036,"(40.619599056, -74.1280312339999)"
737431,1a146cb8,08/18/2015 11:30:00 AM,Tuesday,Aug,18,2015,11,8,18,2015,GRAND LARCENY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,942825,166367,"(40.6232268190001, -74.1492269729999)"
737438,5e4598ca,08/18/2015 12:00:00 PM,Tuesday,Aug,18,2015,12,8,18,2015,BURGLARY,FELONY,,122,STATEN ISLAND,N.Y. POLICE DEPT,949313,149080,"(40.575805508, -74.125765837)"
